34,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
125975,9.0,89.5,277.5,559.5,6591.0,1181916559.0,1272419948.0,1352700305.0,1403288089.5,1434295171.0,12.0,152.75,318.5,1050.0,2745.0,22.0,3112.25,9349.0,15429.25,185487.0,0.0,0.0,0.0,0.0,300.0,0.0,4.0,9.5,14.75,99.0,42,9.09090909091,30.5555555556,117
171273,14.0,1373.0,3665.0,3750.0,3859.0,1219442936.0,1233713657.0,1236190744.0,1245582575.0,1405881395.0,120.0,605.0,917.0,2000.0,3646.0,149.0,6696.0,8317.0,27392.0,168743.0,0.0,0.0,0.0,0.0,106.5,0.0,1.0,41.0,48.0,58.0,5,29.6,0.0,60
74264,38.0,81.75,500.0,1372.75,11223.0,1223493569.0,1236628085.75,1263489879.0,1311877506.0,1389464914.0,74.0,215.25,370.0,868.75,1992.0,244.0,999.75,2187.5,10207.5,113937.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,19.5,49.75,182.0,14,20.9,76.25,76
260948,23.0,252.25,441.5,1060.75,10700.0,1216560910.0,1254281317.75,1291467202.0,1343636322.25,1431982669.0,17.0,168.0,639.0,1571.25,8684.0,179.0,6620.25,19497.0,54878.75,479969.0,0.0,0.0,0.0,0.0,88.0,0.0,5.25,14.0,35.25,79.0,26,16.1666666667,38.125,70
317891,51.0,212.75,679.0,1208.25,1714.0,1248979426.0,1263911818.25,1311729984.0,1320407037.25,1359475114.0,68.0,365.75,801.0,1255.0,2001.0,924.0,5989.5,9401.0,24544.75,106846.0,0.0,0.0,0.0,0.0,134.5,0.0,14.5,21.0,96.5,131.0,6,37.4,120.0,77
208344,13.0,191.75,474.5,748.25,7840152.0,1174412765.0,1252807849.75,1296255004.5,1391116589.75,1435016391.0,65.0,322.75,644.5,1023.75,1807.0,40.0,2208.5,11264.5,20634.75,201907.0,0.0,0.0,0.0,0.0,72.5,0.0,8.25,18.0,37.75,233.0,18,90.0,20.8,87
161870,13.0,92.25,248.0,549.25,26528.0,1253552529.0,1302401942.0,1340681143.0,1393268000.25,1434521436.0,56.0,126.25,243.0,562.25,3116.0,12.0,3258.75,13466.5,67096.75,145081.0,0.0,0.0,0.0,0.0,490.0,0.0,8.0,22.0,46.5,98.0,18,28.2,37.75,63
45704,2.0,9.5,237.0,330.0,81761.0,1237966189.0,1350518399.75,1382135841.5,1382153037.25,1424948004.0,33.0,124.5,147.5,886.75,1986.0,34.0,363.0,786.0,841.0,3313.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,8.0,207.0,58,73.0,5.61111111111,65
284716,5.0,140.0,343.0,1551.0,29788.0,1229706403.0,1285557202.5,1332865343.0,1358032621.0,1430474446.0,100.0,361.0,873.0,1997.0,32767.0,120.0,842.0,3432.0,19221.5,260795.0,0.0,0.0,0.0,0.0,95.5,0.0,9.5,23.0,31.0,62.0,27,16.6666666667,33.3333333333,115
111050,7.0,201.25,367.0,802.5,4429358.0,1168243557.0,1254163405.25,1338930915.5,1391027874.75,1435869035.0,0.0,284.75,503.5,1215.0,9693.0,7.0,2122.0,4332.0,19517.25,326202.0,0.0,0.0,0.0,0.0,183.695652174,0.0,5.0,7.5,14.75,127.0,32,9.23076923077,47.5,55
